# This file contains round numbers for widths: 2 <= t <= 125, output by `calc_round_numbers.py` for
# a 256-bit prime field modulus, 128-bit security level, and quintic S-boxes.
#
# This file was generated using the bash command:
#
# for t in $(seq 2 125); do
#     rounds_and_costs=$(python calc_round_numbers.py $(($t*256)) $t 128 1 1 | grep '^\[' | sed 's/[][,]//g')
#     echo $t $rounds_and_costs >> round_numbers.txt
# done
#
# = == == ========= =========
# t RF RP sbox_cost size_cost
# = == == ========= =========
2 8 55 71 18176
3 8 55 79 20224
4 8 56 88 22528
5 8 56 96 24576
6 8 56 104 26624
7 8 56 112 28672
8 8 57 121 30976
9 8 57 129 33024
10 8 57 137 35072
11 8 57 145 37120
12 8 57 153 39168
13 8 57 161 41216
14 8 57 169 43264
15 8 57 177 45312
16 8 59 187 47872
17 8 59 195 49920
18 8 59 203 51968
19 8 59 211 54016
20 8 59 219 56064
21 8 59 227 58112
22 8 59 235 60160
23 8 59 243 62208
24 8 59 251 64256
25 8 59 259 66304
26 8 59 267 68352
27 8 59 275 70400
28 8 59 283 72448
29 8 59 291 74496
30 8 59 299 76544
31 8 59 307 78592
32 8 60 316 80896
33 8 60 324 82944
34 8 60 332 84992
35 8 60 340 87040
36 8 60 348 89088
37 8 60 356 91136
38 8 60 364 93184
39 8 60 372 95232
40 8 60 380 97280
41 8 60 388 99328
42 8 60 396 101376
43 8 60 404 103424
44 8 60 412 105472
45 8 60 420 107520
46 8 60 428 109568
47 8 60 436 111616
48 8 60 444 113664
49 8 60 452 115712
50 8 60 460 117760
51 8 60 468 119808
52 8 60 476 121856
53 8 60 484 123904
54 8 60 492 125952
55 8 60 500 128000
56 8 60 508 130048
57 8 60 516 132096
58 8 60 524 134144
59 8 60 532 136192
60 8 60 540 138240
61 8 60 548 140288
62 8 60 556 142336
63 8 61 565 144640
64 8 61 573 146688
65 8 61 581 148736
66 8 61 589 150784
67 8 61 597 152832
68 8 61 605 154880
69 8 61 613 156928
70 8 61 621 158976
71 8 61 629 161024
72 8 61 637 163072
73 8 61 645 165120
74 8 61 653 167168
75 8 61 661 169216
76 8 61 669 171264
77 8 61 677 173312
78 8 61 685 175360
79 8 61 693 177408
80 8 61 701 179456
81 8 61 709 181504
82 8 61 717 183552
83 8 61 725 185600
84 8 61 733 187648
85 8 61 741 189696
86 8 61 749 191744
87 8 61 757 193792
88 8 61 765 195840
89 8 61 773 197888
90 8 61 781 199936
91 8 61 789 201984
92 8 61 797 204032
93 8 61 805 206080
94 8 61 813 208128
95 8 61 821 210176
96 8 61 829 212224
97 8 61 837 214272
98 8 61 845 216320
99 8 61 853 218368
100 8 61 861 220416
101 8 61 869 222464
102 8 61 877 224512
103 8 61 885 226560
104 8 61 893 228608
105 8 61 901 230656
106 8 61 909 232704
107 8 61 917 234752
108 8 61 925 236800
109 8 61 933 238848
110 8 61 941 240896
111 8 61 949 242944
112 8 61 957 244992
113 8 61 965 247040
114 8 61 973 249088
115 8 61 981 251136
116 8 61 989 253184
117 8 61 997 255232
118 8 61 1005 257280
119 8 61 1013 259328
120 8 61 1021 261376
121 8 61 1029 263424
122 8 61 1037 265472
123 8 61 1045 267520
124 8 61 1053 269568
125 8 62 1062 271872
